Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,38.0,1.0,38.0,38.0,0.1,22.606000000000016,0.0,0.0,0.014059305191040039,,,,,,,,,,,,,,,,,,,,,7.764284119738888,7.717544555287296,22.35564614008395,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,85.0,2.0,47.0,85.0,0.1,23.110000000000028,0.0,0.0,4.901626825332642,,,,,,,,,,,,,,,,,,,,,6.64797790049623,7.683959590054728,22.843208612693452,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,130.0,3.0,45.0,130.0,0.1,26.40600000000002,0.0,0.0,9.359505891799927,,,,,,,,,,,,,,,,,,,,,8.832858995847069,8.888401635387973,26.060616517605578,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,267.0,4.0,137.0,267.0,0.1,48.935999999999936,0.0,0.0,22.8875789642334,,,,,,,,,,,,,,,,,,,,,21.402198905939244,15.443728204388457,46.09604474332828,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,342.0,5.0,75.0,342.0,0.1,58.206999999999994,0.0,0.0,30.227200269699097,,,,,,,,,,,,,,,,,,,,,23.386539292241252,18.894594541950298,56.566085157311356,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,399.0,6.0,57.0,399.0,0.1,25.007000000000037,0.0,0.0,36.05021357536316,,,,,,,,,,,,,,,,,,,,,8.78758450206857,7.075241903162942,24.555193515219024,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,432.0,7.0,33.0,432.0,0.1,18.105000000000015,0.0,0.0,39.645678997039795,,,,,,,,,,,,,,,,,,,,,6.048657337542142,6.157795676907291,17.94125888437097,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,471.0,8.0,39.0,471.0,0.1,14.707999999999991,0.0,0.0,43.616456508636475,,,,,,,,,,,,,,,,,,,,,3.880777115694168,4.654007313339046,14.585806720121456,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,493.0,9.0,22.0,493.0,0.1,8.604999999999995,0.0,0.0,46.01044464111328,,,,,,,,,,,,,,,,,,,,,2.481908571392621,2.9614322948885654,8.567524492890652,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,536.0,10.0,43.0,536.0,0.1,22.711000000000023,0.0,0.0,50.30612850189209,,,,,,,,,,,,,,,,,,,,,6.869031918954127,7.742317097105081,22.460530227409564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
